"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"air-force-falcons-uc-davis-aggies-201512190088","20151219","away","air-force-falcons","Mountain West", 64,67,104.05, 93.18,0.50,0.42,0.65,4,23,3,2,15,"uc-davis-aggies","Big West", 67,60, 89.06, 99.45,0.38,0.17,0.62,14,21,7,2,17
"alcorn-state-braves-tennessee-state-tigers-201512190582","20151219","home","tennessee-state-tigers","Ohio Valley", 66,81,122.24,114.69,0.53,0.56,0.74,9,22,6,9,18,"alcorn-state-braves","Southwestern Athletic", 67,76,113.66,121.14,0.44,0.44,0.64,12,18,5,3,16
"auburn-tigers-xavier-musketeers-201512190682","20151219","home","xavier-musketeers","Big East", 63,85,135.38, 97.16,0.50,0.41,0.75,13,27,10,4,23,"auburn-tigers","Southeastern", 66,61, 92.06,128.27,0.40,0.35,0.63,5,18,3,4,23
"baylor-bears-texas-am-aggies-201512190587","20151219","home","texas-am-aggies","Southeastern", 70,80,113.69, 86.69,0.48,0.36,0.43,15,24,8,5,18,"baylor-bears","Big 12", 67,61, 90.74,119.01,0.36,0.33,0.63,14,23,10,3,22
"belmont-bruins-cleveland-state-vikings-201512190121","20151219","home","cleveland-state-vikings","Horizon League", 65,67,103.66,100.57,0.45,0.40,0.71,10,25,8,5,23,"belmont-bruins","Ohio Valley", 68,65, 96.24, 99.21,0.34,0.26,0.73,13,24,5,3,13
"bethune-cookman-wildcats-toledo-rockets-201512190594","20151219","home","toledo-rockets","Mid-American", 73,102,139.48, 92.99,0.55,0.46,0.77,11,27,4,0,17,"bethune-cookman-wildcats","Mid-Eastern", 68,68, 99.73,149.60,0.35,0.15,0.74,16,19,5,5,18
"boston-university-terriers-canisius-golden-griffins-201512190097","20151219","home","canisius-golden-griffins","Metro Atlantic Athletic", 76,84,110.83, 89.72,0.39,0.32,0.71,16,17,10,3,19,"boston-university-terriers","Patriot League", 71,68, 95.69,118.20,0.52,0.32,0.74,4,20,5,6,29
"butler-bulldogs-purdue-boilermakers-201512190474","20151219","away","butler-bulldogs","Big East", 71,74,103.68, 95.27,0.40,0.25,0.62,13,23,11,6,16,"purdue-boilermakers","Big Ten", 74,68, 92.47,100.63,0.41,0.32,0.81,7,30,4,9,23
"cal-state-fullerton-titans-portland-pilots-201512190467","20151219","home","portland-pilots","West Coast", 68,65, 96.24, 88.84,0.36,0.32,0.69,10,25,6,5,23,"cal-state-fullerton-titans","Big West", 69,60, 86.84, 94.07,0.39,0.39,0.43,11,28,6,1,22
"charleston-cougars-miami-fl-hurricanes-201512190355","20151219","home","miami-fl-hurricanes","Atlantic Coast", 74,85,114.54, 84.90,0.56,0.38,0.68,5,29,11,3,20,"charleston-cougars","Colonial Athletic", 73,63, 86.26,116.39,0.39,0.31,0.65,10,18,13,0,25
"charlotte-49ers-appalachian-state-mountaineers-201512190016","20151219","away","charlotte-49ers","Conference USA", 64,82,127.35,102.50,0.51,0.61,0.65,10,24,5,1,24,"appalachian-state-mountaineers","Southern", 66,66, 99.75,123.93,0.41,0.36,0.61,6,15,5,5,13
"cincinnati-bearcats-vcu-rams-201512190613","20151219","away","cincinnati-bearcats","American Athletic", 61,69,112.97,103.14,0.36,0.33,0.86,12,27,4,6,22,"vcu-rams","Atlantic Ten", 60,63,104.37,114.31,0.34,0.37,0.64,16,18,4,2,24
"citadel-bulldogs-campbell-fighting-camels-201512190096","20151219","home","campbell-fighting-camels","Big South", 80,101,126.76,102.91,0.58,0.38,0.72,4,34,8,0,21,"citadel-bulldogs","Southern", 84,82, 97.67,120.31,0.40,0.22,0.77,10,23,7,0,28
"colorado-state-rams-kansas-state-wildcats-201512190288","20151219","home","kansas-state-wildcats","Big 12", 65,61, 93.55, 85.88,0.43,0.15,0.65,7,28,3,4,24,"colorado-state-rams","Mountain West", 65,56, 85.82, 93.48,0.29,0.27,0.76,9,26,2,2,21
"coppin-state-eagles-california-golden-bears-201512190095","20151219","home","california-golden-bears","Pac-12", 68,84,123.81, 75.17,0.47,0.35,0.67,14,33,5,9,18,"coppin-state-eagles","Mid-Eastern", 70,51, 72.80,119.90,0.24,0.33,0.76,10,17,7,4,23
"cornell-big-red-syracuse-orange-201512190553","20151219","home","syracuse-orange","Atlantic Coast", 62,67,108.67, 74.61,0.43,0.33,0.73,14,31,7,9,16,"cornell-big-red","Ivy League", 62,46, 74.06,107.87,0.31,0.24,0.50,6,14,9,1,14
"creighton-bluejays-oklahoma-sooners-201512190444","20151219","home","oklahoma-sooners","Big 12", 73,87,118.62,100.89,0.48,0.40,0.71,10,33,7,11,13,"creighton-bluejays","Big East", 78,74, 95.46,112.23,0.36,0.46,0.80,10,24,6,3,18
"dartmouth-big-green-new-hampshire-wildcats-201512190403","20151219","home","new-hampshire-wildcats","America East", 69,76,109.50, 80.68,0.50,0.37,0.61,11,29,4,1,24,"dartmouth-big-green","Ivy League", 69,56, 81.10,110.07,0.28,0.30,0.78,9,21,7,0,26
"delaware-fightin-blue-hens-boston-college-eagles-201512190058","20151219","home","boston-college-eagles","Atlantic Coast", 66,69,105.20, 93.00,0.47,0.35,0.57,2,29,3,7,17,"delaware-fightin-blue-hens","Colonial Athletic", 69,61, 88.87,100.52,0.31,0.35,0.75,8,28,7,1,16
"delaware-state-hornets-temple-owls-201512190577","20151219","home","temple-owls","American Athletic", 69,78,112.77, 91.08,0.35,0.15,0.79,17,25,5,2,21,"delaware-state-hornets","Mid-Eastern", 67,63, 93.85,116.20,0.39,0.29,0.70,9,20,7,5,25
"drake-bulldogs-iowa-hawkeyes-201512190276","20151219","home","iowa-hawkeyes","Big Ten", 56,70,124.01,113.38,0.47,0.38,0.75,7,22,4,14,12,"drake-bulldogs","Missouri Valley", 59,64,107.87,117.99,0.40,0.42,0.62,9,23,0,3,12
"fiu-golden-panthers-northern-illinois-huskies-201512190417","20151219","home","northern-illinois-huskies","Mid-American", 78,78,100.18, 96.33,0.41,0.19,0.53,16,25,9,7,21,"fiu-golden-panthers","Conference USA", 79,75, 94.81, 98.60,0.38,0.38,0.71,12,30,6,2,27
"florida-am-rattlers-north-florida-ospreys-201512190434","20151219","home","north-florida-ospreys","Atlantic Sun", 69,87,126.48,101.77,0.48,0.46,0.93,7,26,6,4,15,"florida-am-rattlers","Mid-Eastern", 74,70, 94.79,117.81,0.38,0.29,0.57,14,22,5,1,16
"florida-atlantic-owls-florida-state-seminoles-201512190213","20151219","home","florida-state-seminoles","Atlantic Coast", 65,64, 98.91, 91.18,0.37,0.14,0.75,14,26,10,8,17,"florida-atlantic-owls","Conference USA", 67,59, 88.24, 95.72,0.43,0.36,0.57,5,26,2,1,17
"furman-paladins-dayton-flyers-201512190157","20151219","home","dayton-flyers","Atlantic Ten", 60,70,116.76, 83.40,0.45,0.43,0.86,11,28,3,5,11,"furman-paladins","Southern", 60,50, 83.43,116.81,0.38,0.29,0.67,6,12,4,0,16
"georgia-state-panthers-southern-miss-golden-eagles-201512190521","20151219","away","georgia-state-panthers","Sun Belt", 60,66,109.26, 76.15,0.45,0.21,0.91,4,24,11,2,16,"southern-miss-golden-eagles","Conference USA", 58,46, 79.63,114.25,0.31,0.19,0.69,11,22,4,0,20
"georgia-tech-yellow-jackets-georgia-bulldogs-201512190230","20151219","home","georgia-bulldogs","Southeastern", 64,75,118.01, 95.98,0.49,0.43,0.66,9,18,4,5,19,"georgia-tech-yellow-jackets","Atlantic Coast", 61,61,100.74,123.86,0.39,0.35,0.82,8,22,4,4,28
"grambling-state-tigers-virginia-tech-hokies-201512190620","20151219","home","virginia-tech-hokies","Atlantic Coast", 73,87,119.87, 71.65,0.46,0.38,0.69,14,20,8,3,11,"grambling-state-tigers","Southwestern Athletic", 68,52, 75.94,127.06,0.41,0.32,0.57,6,22,2,5,23
"hampton-pirates-colorado-buffaloes-201512190125","20151219","home","colorado-buffaloes","Pac-12", 73,95,129.87, 72.45,0.48,0.38,0.75,10,39,3,7,15,"hampton-pirates","Mid-Eastern", 75,53, 70.37,126.14,0.32,0.14,0.41,5,26,5,4,24
